Id,UID,Type,IdPlan,TurnOn,Hacked,Traffic
845854,e58308e1-2fd3-451b-808d-0d011f3f5167,P,5,True,True,12820711176
904844,7b3f41cd-28fc-4102-ab70-6ac066ada68a,C,11,True,True,29732062648
470534,c2e69015-36ab-4b0e-bb10-021c533f9604,P,4,True,True,1568720408
986672,7272f925-5723-4d58-8eb2-ea5f983fff6b,P,3,True,True,18823161760
4540,4169854d-346a-4849-8d63-4c223826f079,P,0,True,True,1335581432
571732,4cdcc608-12ad-46f5-9f7d-11908eed3daf,C,12,True,True,72046994624
244232,f4d1d814-fc6b-45e5-9cb1-4a47788b13a8,P,2,True,True,1517932120
787948,3d4e0125-313b-48ee-ad9a-556239336768,P,7,True,True,43906797296
101045,6fe84fa5-ee1c-4660-862b-98f4e091e306,P,5,True,True,10672307296
807845,cad75683-e1a7-41c9-a062-3f7fba5e0741,P,1,True,True,1558169768
298519,ebc33306-ce88-445f-b776-6e722c3a8531,P,6,True,True,7832577976
415170,3223c3d2-249a-4395-b59f-98f87c7ca4df,P,7,True,True,6109975896
664697,1a3b23ad-2742-4bb5-9b3a-c1c6e70ad5ff,P,2,True,True,3967419672
392262,b8f5a3f5-fef1-4114-9458-adc712f72d14,P,4,True,True,3362208256
410461,d430c7db-d6c7-4234-addf-9989e4fec14f,P,2,True,True,14031258848
702874,51849d05-149b-4637-abb3-7228e0fd3069,P,3,True,True,18155862936
193102,7f7f6588-84c9-4c92-a76d-3bb699d30590,P,1,True,True,7793030992
865071,69b97cf0-4d23-4a2b-a9ca-c05d8bd48f51,C,12,True,True,6614412640
597201,94ceab8e-5e44-42ae-a46c-89496af0300f,P,6,True,True,4468578496
580932,b34d3560-5d50-4b38-a627-910cc9639e4e,P,4,True,True,7588200120
571334,c82d7cd4-0059-47de-a77b-4f2ad78717b0,C,10,True,True,26516642600
793148,22f58185-156e-43e5-b5cf-2b5afa856226,P,6,True,True,6478149432
811672,96d4df6d-1654-402a-b518-f74fa462bdf3,P,5,True,True,6540391080
419940,6c482a64-a6d6-4170-8b0e-be3b3006e1d6,P,4,True,True,23018586944
858500,573f6450-b63a-4c4a-9890-05974e9fe571,C,10,True,True,75566304336
467969,3aca45aa-fad8-4b50-9a73-ad2e4e7a23d0,P,7,True,True,32115668304
711589,5be3e75e-633a-4b97-9e07-923b3fb101a6,P,2,True,True,12397892864
236018,38dbf31f-423b-438f-a203-33a9c7cf9bf6,P,2,True,True,632179000
863187,280f74a1-5da7-42b6-8706-88a4e0b8744a,C,12,True,True,7925487944
241089,9a9d374d-6ea9-43ce-b260-806fc1a22a92,P,5,True,True,13458323288
462103,d78dc14c-3907-4d86-ae71-777899d51e82,C,12,True,True,77998730992
432327,6cda1465-9798-4130-95b1-123f1b65c408,P,2,True,True,8300749864
624995,37a1235e-8934-4b3e-9a9c-5cdb6d2a30f0,P,7,True,True,7476130056
714444,ade33b76-bc57-44bc-aff8-09a79cd879f2,P,0,True,True,7560013136
935615,a6e8264c-355a-4ec3-b479-68b595bdfd2b,P,3,True,True,7085641976
55102,1af6b016-2299-4ff7-aa44-67ae543d8fa3,C,12,True,True,143391861824
584010,5aca07ad-a234-40c4-9bb9-3d1cd9a0d2e7,P,1,True,True,391585944
870639,8f1f82bf-5ff1-4305-bfaa-77742633a8b1,P,3,True,True,139190288
213091,da2baa1c-2bbd-437a-bb27-1783e14238d1,P,4,True,True,14185860560
335994,02fdff8d-5dab-43a8-b0fa-6ad8e4d2cba2,P,5,True,True,13818713688
963657,7a3c9bfe-c010-4731-b3c5-11fc59e330f8,C,10,True,True,4391157128
94188,6d436f4b-1315-471a-b1c4-1439ea97049a,P,6,True,True,1280690280
913513,461cbc1a-b099-4403-bf92-a1abae3c3a61,P,7,True,True,15568271544
372130,1311682c-da56-4c1f-a941-fefa172819c8,P,5,True,True,5942176208
269814,4ff8d8d8-6356-4bea-b1ec-2268620d6aab,P,5,True,True,58771032
102920,07b82733-f0f5-4d54-ae4a-d837e6b2201d,P,3,True,True,6566783904
960731,61fd39be-92d7-40f6-a4c4-a867a53ea122,P,2,True,True,14064834968
998525,68469e6a-2da0-40da-9583-a6e817d95f79,P,5,True,True,564756832
332897,3282e6b3-17e7-45ed-a7f4-3c0e7fdbbd52,P,7,True,True,12679114616
323654,1445c62a-561d-4652-be80-e4aba75c5337,P,1,True,True,4755215344
476459,d991ec42-d4f5-43bb-9a49-ced3a9c5a28a,C,11,True,True,210223102288
447878,e90246da-2862-4680-979d-2804dbbea36d,P,3,True,True,10068220712
81494,cb0f6b30-eeab-4942-babd-4245029eb368,P,2,True,True,20119249720
513587,28ab5aa1-e83b-492e-83f4-227cb810f8e5,P,7,True,True,1591305504
291955,e7142c21-bb92-42dc-92b1-e52bd7af2c1e,P,1,True,True,4388318872
585967,ebd9cb76-8a10-4173-9270-e4dda5bb1be0,P,0,True,True,1588400600
924597,3d8bea06-dec8-46ff-8589-e1fc44459154,P,6,True,True,4226003400
814657,9c1f39a2-fe3f-4577-a279-e5d8df77ab07,P,3,True,True,6344296904
490882,61cb8472-d553-4349-9f6a-5b3c05d9828d,P,5,True,True,4279356208
528251,9726ac2b-19c7-41f2-b65d-cca1e57c393c,P,5,True,True,9480710688
952661,4a7bb542-d346-4f3b-9a6e-96434ed76247,P,4,True,True,1680376664
605593,3d0135f1-b876-4ccc-8237-3401767a9304,P,0,True,True,2170838464
327068,5d811194-80e4-4394-b5be-1d4aadefa807,P,6,True,True,2984098744
869797,d72d4ec2-ed41-47eb-ba52-0ffe14a83610,P,0,True,True,1409139032
803045,5c609d16-f172-4105-a8ff-47e30307f1e6,P,4,True,True,8246949688
460206,6d9077ae-dc21-4311-8e07-8c167a3ff7a3,P,3,True,True,20073659928
735458,fbd00c6b-a4bd-4c11-9c8a-e5ecb5b8c4e1,P,4,True,True,16687707496
689892,046a56ee-1be8-4cdd-ba29-6e327f13cd8c,P,5,True,True,1867672056
471528,1dd5a62d-93a1-41c0-ac74-4fe43ce5bf79,P,4,True,True,9137833896
986885,99364aac-976d-4fc4-acb1-c81e1ee2e3c7,P,3,True,True,3799513072
